ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,notice_number,hearing_disposition,officer,year,month,hour,location,point,lt,ln,other
6045646442,11/1/2017 7:39,3843 S WESTERN Chicago IL,875726657e4219e37b3a8456ea41fbcc675d9b3b632a2ba9333b1a6176c3e634,IL,PAS,607142225,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,4/3/2018 0:00,DETR,5209289730,Liable,SPEED,2017,11,7,"Chicago, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7646, South Africa","(-33.71745, 18.9963167, 0.0)",-33.7174500,18.9963167,1
7007588378,11/1/2017 7:51,4200 S CICERO AVENUE Chicago IL,3c47a8a80343fc894d311bd90955fcedc87f67c808e81a384a899a102739b4c4,IL,TRK,609356020,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,200,Paid,4/25/2018 0:00,FINL,5208966070,Liable,XERX,2017,11,7,"South Cicero Avenue, West Lawn, Chicago, Cook County, Illinois, 6049, United States","(41.7540566, -87.7415009, 0.0)",41.7540566,-87.7415009,1
7007588477,11/1/2017 7:54,7600 S STONY ISLAND A Chicago IL,e054217537232306cad292159e31eddda80a0bf218589bd09ba10ea0efad7fd8,IL,PAS,60657,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,3/29/2018 0:00,FINL,5108599760,Liable,XERX,2017,11,7,,,,,1
7007588433,11/1/2017 7:58,2400 N ASHLAND AVENUE Chicago IL,78ec46da0f65864c8c3618250b46b954b5a909e1c957145e6cfb17a02bac1ce9,IL,PAS,606604263,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,3/9/2018 0:00,SEIZ,5132034700,Liable,XERX,2017,11,7,"2400, North Ashland Avenue, Lincoln Park, Chicago, Cook County, Illinois, 60657, United States","(41.9253398, -87.6684485325834, 0.0)",41.9253398,-87.6684485,1
6045646483,11/1/2017 7:58,5816 W JACKSON Chicago IL,8cdde3b519d63ccb70b89459f5391dcd4cd32a7f2a35305dba1b8155acd90b86,IL,PAS,601532063,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,200,0,Notice,2/28/2018 0:00,SEIZ,5021347880,Liable,SPEED,2017,11,7,,,,,1
7007588489,11/1/2017 8:02,6700 S STONY ISLAND A Chicago IL,75d4e836ed0bf57f6b87ca186eea50058a8fc0f816276a189473b3b8743312fe,IL,PAS,606491298,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,200,Paid,4/30/2018 0:00,FINL,5208966310,Liable,XERX,2017,11,8,,,,,1
6045646490,11/1/2017 8:02,4909 N CICERO AVE Chicago IL,91b344e9ebfb87d15f89fc9e087ec9b833a82b9a902c4776492b886c1ac57009,IL,PAS,606303311,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,4/6/2018 0:00,DETR,5209157630,Liable,SPEED,2017,11,8,"North Cicero Avenue, Belmont Park, Belmont Cragin, Chicago, Cook County, Illinois, 60641, United States of America","(41.9388397, -87.7468795, 0.0)",41.9388397,-87.7468795,1
6045646624,11/1/2017 8:38,5330 S COTTAGE GROVE Chicago IL,9dca59d7c7b5cc76f86cc3589b7ed3a79e24ded128eba5f7cb942912f9690a3e,IL,PAS,606154426,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,5/2/2018 0:00,DETR,5198483430,Liable,SPEED,2017,11,8,,,,,1
6045646639,11/1/2017 8:42,445 W 127TH Chicago IL,cde309fed21ac672e495055f6ad07167e53c1dc2cfa0b7bc53d69a4a515053d4,IL,PAS,606281405,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,2/12/2018 0:00,DETR,5175437820,Liable,SPEED,2017,11,8,,,,,1
7007588406,11/1/2017 8:49,5200 W MADISON STREET Chicago IL,ad6cadb0a280fe5361fde3327115ebfdddc4fb846c442795e87490803064d080,IL,PAS,60651,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,2/13/2018 0:00,DETR,5208066480,Liable,XERX,2017,11,8,"West Madison Street, West Garfield Park, Chicago, Cook County, Illinois, 60644, United States of America","(41.8805978, -87.7332498, 0.0)",41.8805978,-87.7332498,1
7007588448,11/1/2017 8:50,1600 W 87TH ST Chicago IL,0045c627e6064dc6dba4b7bcdf88e94c8dec7e1a07e66a01eea154b5b3bc8088,IL,PAS,606205015,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,1/22/2018 0:00,DETR,5063579870,Liable,XERX,2017,11,8,"West 87th Street, Garden Homes, Chatham, Chicago, Cook County, Illinois, 60619, United States of America","(41.7363823, -87.6249149, 0.0)",41.7363823,-87.6249149,1
6045646668,11/1/2017 8:57,3200 S ARCHER AVE Chicago IL,99e0b94d27267e390b0b9d65aa087e9768cc53872807f1631c54f520ef2a5498,IL,PAS,60651,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,200,0,Notice,3/9/2018 0:00,SEIZ,5017144070,Liable,SPEED,2017,11,8,,,,,1
7007588456,11/1/2017 9:04,400 W BELMONT AVE Chicago IL,d3bc4c35c10483aa259c5c63cf175d96ef5eb4a96da6f518349a44b7b664fda3,IL,PAS,606574028,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,3/14/2018 0:00,DETR,5202550190,Liable,XERX,2017,11,9,"West Belmont Avenue, Avondale, Chicago, Cook County, Illinois, 60618, United States of America","(41.9393779, -87.7027183, 0.0)",41.9393779,-87.7027183,1
6045657699,11/1/2017 9:05,3521 N WESTERN Chicago IL,845bf6a4fe4c44fee6ef8139087a8e147fce405695236f52c44f77144f82f2d8,IL,PAS,606183039,9101020*,SPEED VIOLATION 6-10,SPD,Speed,OTHR,35,70,0,35,Paid,12/7/2017 0:00,VIOL,5203486230,,SPEED,2017,11,9,"Chicago, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7646, South Africa","(-33.71745, 18.9963167, 0.0)",-33.7174500,18.9963167,1
6045657701,11/1/2017 9:05,215 E 63RD ST Chicago IL,21f7cf0cb463cb8b86398987ac8c4d4684798e8e3751b14a4fda27c5e9a9714b,IL,PAS,606374295,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,200,Paid,2/5/2018 0:00,FINL,5178069800,,SPEED,2017,11,9,"215, East 63rd Street, Washington Park, Chicago, Cook County, Illinois, 60637, United States of America","(41.7800665227511, -87.6200782698462, 0.0)",41.7800665,-87.6200783,1
6045657700,11/1/2017 9:05,6510 W BRYN MAWR AVE Chicago IL,8a199543b8534e53f15484398e9beabf70acba017e6d4c4732bffb16aeeaf065,IL,PAS,601933792,9101020*,SPEED VIOLATION 6-10,SPD,Speed,OTHR,35,70,0,35,Paid,1/13/2018 0:00,DETR,5207887670,,SPEED,2017,11,9,"6510, West Bryn Mawr Avenue, Norwood Park, Chicago, Cook County, Illinois, 60631, United States","(41.9829692960319, -87.7904593208836, 0.0)",41.9829693,-87.7904593,1
6045657702,11/1/2017 9:06,215 E 63RD ST Chicago IL,3cc547d47fa7312d784e86c6c67c498f858aeb08e597aad5fa5eb01d8ec04a0e,IL,PAS,606441452,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,12/4/2017 0:00,VIOL,5208439420,,SPEED,2017,11,9,"215, East 63rd Street, Washington Park, Chicago, Cook County, Illinois, 60637, United States of America","(41.7800665227511, -87.6200782698462, 0.0)",41.7800665,-87.6200783,1
6045646690,11/1/2017 9:06,3843 S WESTERN Chicago IL,e4131439cadb8599702087e1598eadf85334ecd36a8b077c196de13bc19faf1f,IL,PAS,606241225,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,12/20/2017 0:00,VIOL,5186381680,,SPEED,2017,11,9,"Chicago, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7646, South Africa","(-33.71745, 18.9963167, 0.0)",-33.7174500,18.9963167,1
6045657703,11/1/2017 9:06,4041 W CHICAGO AVE Chicago IL,e79f678206fdcd38b51e30f502db95bd00b9cdeb067af2bec79d713c1dbf2d27,IL,PAS,600512293,9101020*,SPEED VIOLATION 6-10,SPD,Speed,OTHR,35,70,0,35,Paid,12/6/2017 0:00,VIOL,5208638170,,SPEED,2017,11,9,"West Chicago Avenue, Chicago River North, Near North Side, Chicago, Cook County, Illinois, 60654-5799, United States of America","(41.8964748, -87.6434139, 0.0)",41.8964748,-87.6434139,1
7007588515,11/1/2017 9:07,5200 W MADISON STREET Chicago IL,e57ee1a80ddce08c601a7c8a408918cf38f0c01ca2dc9f8ceb6ae8e7ddc9cf2b,IL,PAS,606441749,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,11/15/2017 0:00,SEIZ,5207978280,,XERX,2017,11,9,"West Madison Street, West Garfield Park, Chicago, Cook County, Illinois, 60644, United States of America","(41.8805978, -87.7332498, 0.0)",41.8805978,-87.7332498,1
6045657705,11/1/2017 9:07,1635 N ASHLAND AVE Chicago IL,d81feed0e1e763aaed3d05c40c0a1bf0a451457514de3c9aef45db170993b961,IL,PAS,606224961,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,12/9/2017 0:00,VIOL,5179339250,,SPEED,2017,11,9,"1635, North Ashland Avenue, Wicker Park, West Town, Chicago, Cook County, Illinois, 60622, United States of America","(41.91164255, -87.6674268118966, 0.0)",41.9116426,-87.6674268,1
6045646695,11/1/2017 9:07,4433 N WESTERN Chicago IL,1f9d81a2402b8a77dec043b15ab1bb98c147948648982d7593f894ef290ce8d9,IL,PAS,601031811,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,1/2/2018 0:00,DETR,5185014640,,SPEED,2017,11,9,"Chicago, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7646, South Africa","(-33.71745, 18.9963167, 0.0)",-33.7174500,18.9963167,1
7007588546,11/1/2017 9:08,800 W ROOSEVELT ROAD Chicago IL,a71f2b2db9897e0f0f914facd48f197cc35a0a64b60a4f502bded05cbcd82b7d,IL,PAS,606552209,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,12/17/2017 0:00,VIOL,5208988900,,XERX,2017,11,9,"West Roosevelt Road, North Lawndale, Chicago, Cook County, Illinois, 60623, United States","(41.8664652, -87.7006136, 0.0)",41.8664652,-87.7006136,1
6045646699,11/1/2017 9:08,6523 N WESTERN Chicago IL,0936fa46548fc20b7277f6a8794e2ba7ea910145fe6df46917f23b913c58d202,IL,PAS,606602900,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,12/17/2017 0:00,VIOL,5206499620,,SPEED,2017,11,9,"Chicago, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7646, South Africa","(-33.71745, 18.9963167, 0.0)",-33.7174500,18.9963167,1
6045646702,11/1/2017 9:09,450 N COLUMBUS DR Chicago IL,a653646833c173a28ddb076720f89069fe586071a569aec59d8215506f57b500,IL,PAS,606101385,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,12/5/2017 0:00,VIOL,5208501570,,SPEED,2017,11,9,"North Columbus Drive, Loop, Chicago, Cook County, Illinois, 60601, United States of America","(41.8880978, -87.6205606, 0.0)",41.8880978,-87.6205606,1
7007588528,11/1/2017 9:10,848 W 87TH STREET Chicago IL,13fe47b59db0197d02debf6d250706c5714bdaa52a6c547dedd58966b3ccf500,IL,PAS,60624,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,11/16/2017 0:00,FINL,5209102640,,XERX,2017,11,9,"West 87th Street, Garden Homes, Chatham, Chicago, Cook County, Illinois, 60619, United States of America","(41.7363823, -87.6249149, 0.0)",41.7363823,-87.6249149,1
6045657706,11/1/2017 9:10,7739 S WESTERN Chicago IL,71352066eb421f1f995feb15d01f56fd1a0c156aba7907ebd597c3a119627725,IL,PAS,60620,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,200,0,Notice,11/22/2017 0:00,DLS,5157753690,,SPEED,2017,11,9,"Chicago, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7646, South Africa","(-33.71745, 18.9963167, 0.0)",-33.7174500,18.9963167,1
6045646705,11/1/2017 9:10,3047 W JACKSON BLVD Chicago IL,e4bd0063e2745dece9b965dc1f4bcd3805beaa29814f140e259605cf08ffcab0,IL,PAS,606243960,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,200,0,Notice,11/22/2017 0:00,FINL,5209157950,,SPEED,2017,11,9,"3047, West Jackson Boulevard, East Garfield Park, Chicago, Cook County, Illinois, 60612, United States of America","(41.877271570334, -87.702716350565, 0.0)",41.8772716,-87.7027164,1
7007588497,11/1/2017 9:11,1200 W DEVON AVE Chicago IL,85e48484b54d84959a04e27bca0157fdfd9c6c301c7cb80043685a68dc1b7a32,IL,PAS,60645,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,1/16/2018 0:00,DETR,5208988770,,XERX,2017,11,9,"West Devon Avenue, Sauganash, Forest Glen, Chicago, Cook County, Illinois, 60712, United States of America","(41.9971808, -87.7362028, 0.0)",41.9971808,-87.7362028,1
7007588496,11/1/2017 9:11,2400 W FOSTER AVE Chicago IL,e77b64e4c7f703f6769fbaed171ed72de45ab3d215773acfcae609a1cf27ddfe,IL,PAS,606405882,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,12/2/2017 0:00,VIOL,5206724450,,XERX,2017,11,9,"West Foster Avenue, Bowmanville, Lincoln Square, Chicago, Cook County, Illinois, 9020, United States of America","(41.9758766, -87.6923525, 0.0)",41.9758766,-87.6923525,1
7007588498,11/1/2017 9:12,3600 N AUSTIN AVENUE Chicago IL,c2359dbe2a4becc5d424cc9ab4d89add5bf29bcacb352e1804965143ac9fe911,IL,PAS,604021103,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,11/28/2017 0:00,VIOL,5192842520,,XERX,2017,11,9,"3600, North Austin Avenue, Schorsch, Dunning, Chicago, Cook County, Illinois, 60630, United States","(41.94605175, -87.7767091936886, 0.0)",41.9460518,-87.7767092,1
6045657709,11/1/2017 9:12,2109 E 87TH ST Chicago IL,0f74b9ae28d974f5cefbe9300dcac344064cd4ed7c6ac9a35022832e59cacf25,IL,PAS,604252014,9100045B2,SPEED WARNING,SPD,Speed,OTHR,0,0,0,0,Warning,11/26/2017 0:00,,5209235720,,SPEED,2017,11,9,"2109, East 87th Street, Calumet Heights, Chicago, Cook County, Illinois, 60617, United States of America","(41.73693535, -87.5728217376615, 0.0)",41.7369354,-87.5728217,1
7007588591,11/1/2017 9:14,6700 S CORNELL DRIVE Chicago IL,d461965a8e141b7ccc729e729ed0ec35929c8bd4895ebc52fc0aee33be8a3e31,IL,PAS,606492523,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,12/28/2017 0:00,DETR,5184227310,,XERX,2017,11,9,"South Cornell Drive, Hyde Park, Chicago, Cook County, Illinois, 60637, United States of America","(41.7874399, -87.5849732, 0.0)",41.7874399,-87.5849732,1
6045646713,11/1/2017 9:14,8318 S ASHLAND AVE Chicago IL,b26c78ef5440e199c7523ada0284c3ab48b4f6ec3d1f88935a6fedce94276faa,IL,PAS,606194630,9101020*,SPEED VIOLATION 6-10,SPD,Speed,OTHR,35,70,70,0,Notice,11/23/2017 0:00,SEIZ,5201782500,,SPEED,2017,11,9,"8314-8318, South Ashland Avenue, South Englewood, Auburn Gresham, Chicago, Cook County, Illinois, 60620, United States of America","(41.7425313, -87.6634990976443, 0.0)",41.7425313,-87.6634991,1
6045646711,11/1/2017 9:14,4042 W ROOSEVELT RD Chicago IL,def450634f1122c9f87060c73a9ef5b5910261697c7e51db799fd46e8031f777,IL,TMP,60453,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,244,0,Notice,11/22/2017 0:00,SEIZ,5063338840,,SPEED,2017,11,9,"West Roosevelt Road, North Lawndale, Chicago, Cook County, Illinois, 60623, United States","(41.8664652, -87.7006136, 0.0)",41.8664652,-87.7006136,1
7007588461,11/1/2017 9:14,30 W 87TH STREET Chicago IL,c06798c11f52261f031b93869bb2fc54f4c1b26d842ac0dc811cd3ef8cd07ff1,IL,PAS,60805,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,11/15/2017 0:00,FINL,5208966260,,XERX,2017,11,9,"West 87th Street, Garden Homes, Chatham, Chicago, Cook County, Illinois, 60619, United States of America","(41.7363823, -87.6249149, 0.0)",41.7363823,-87.6249149,1
6045657710,11/1/2017 9:15,7739 S WESTERN Chicago IL,fb850c1cb99a380ff57948a7122dd6fc254f90f1542f5a38b20738dabdda16af,IL,PAS,601533121,9101020*,SPEED VIOLATION 6-10,SPD,Speed,OTHR,35,70,70,0,Notice,11/23/2017 0:00,FINL,5146892470,,SPEED,2017,11,9,"Chicago, Drakenstein Local Municipality, Cape Winelands District Municipality, Western Cape, 7646, South Africa","(-33.71745, 18.9963167, 0.0)",-33.7174500,18.9963167,1
7007588526,11/1/2017 9:15,5400 S ARCHER AVE Chicago IL,6d835b39deb9b8bf9cd1c51ac863a6e345d84fdbca4a686679fde67ba24237f5,IL,PAS,60640,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,12/18/2017 0:00,VIOL,5208964150,,XERX,2017,11,9,"South Archer Avenue, Bridgeport, Chicago, Cook County, Illinois, 60616, United States of America","(41.847345, -87.6462267, 0.0)",41.8473450,-87.6462267,1
7007588512,11/1/2017 9:16,4440 W LAWRENCE AVENUE Chicago IL,5c81d258cba0fe07a7a611defafe9a8467a2097e3bc35c0639cb5336b0263a04,IL,PAS,606256116,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,1/15/2018 0:00,DETR,5155581390,,XERX,2017,11,9,"West Lawrence Avenue, Ravenswood, Uptown, Chicago, Cook County, Illinois, 60640, United States","(41.9689051, -87.6674952, 0.0)",41.9689051,-87.6674952,1
6045657711,11/1/2017 9:16,2109 E 87TH ST Chicago IL,a2cef3b9fc47aadc75dca152e65a6af76bf015f62121621e806cbb331c9261bd,IL,PAS,604171345,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,200,0,Notice,11/22/2017 0:00,FINL,5197500910,,SPEED,2017,11,9,"2109, East 87th Street, Calumet Heights, Chicago, Cook County, Illinois, 60617, United States of America","(41.73693535, -87.5728217376615, 0.0)",41.7369354,-87.5728217,1
7007588523,11/1/2017 9:16,5200 S CICERO AVE Chicago IL,d79343bec8edb3fc90f4166312193b8179df50fc7bcc5646df4b3aee28a1cd74,OR,TRK,8054,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,0,100,Paid,1/5/2018 0:00,VIOL,5209691760,,XERX,2017,11,9,"5200, South Cicero Avenue, Archer Limits, Garfield Ridge, Chicago, Cook County, Illinois, 60638, United States of America","(41.79828415, -87.7434691820782, 0.0)",41.7982842,-87.7434692,1
6045646715,11/1/2017 9:17,2416 W 103RD ST Chicago IL,e29a71a54f7fd6b6a509eff05abba58b967424e61cb4a4165481567223ba7978,IL,PAS,606031203,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,1/24/2018 0:00,DETR,5182256800,,SPEED,2017,11,9,"2416, West 103rd Street, Beverly, Chicago, Cook County, Illinois, 60655, United States","(41.706459, -87.682453, 0.0)",41.7064590,-87.6824530,1
6045646714,11/1/2017 9:17,5739 N NORTHWEST HWY Chicago IL,b7cf1ba77635b2bedc3e6d68b781ce02c3b1d7f959c602ace1198c3f411b4766,IL,PAS,600683902,9101020*,SPEED VIOLATION 6-10,SPD,Speed,OTHR,35,70,0,35,Paid,12/7/2017 0:00,VIOL,5208895930,,SPEED,2017,11,9,"5739, North Northwest Highway, Norwood Park, Chicago, Cook County, Illinois, 60631, United States of America","(41.98615134936, -87.7878579177089, 0.0)",41.9861514,-87.7878579,1
6045657715,11/1/2017 9:18,2109 E 87TH ST Chicago IL,ef6d98854d54553429e3be2ea40775e3daa1232f582b7155a76ce3b1a922d352,IL,PAS,60617,9100045B2,SPEED WARNING,SPD,Speed,OTHR,0,0,0,0,Warning,11/26/2017 0:00,,5208870870,,SPEED,2017,11,9,"2109, East 87th Street, Calumet Heights, Chicago, Cook County, Illinois, 60617, United States of America","(41.73693535, -87.5728217376615, 0.0)",41.7369354,-87.5728217,1
7007588535,11/1/2017 9:19,800 W 111TH ST Chicago IL,b544c4e23ac1372b943f50afa516e29da86777a870e3bb1855371d1a3a9e4b64,IL,PAS,60628,9102020,RED LIGHT VIOLATION,XERX,Red Light,OTHR,100,200,200,0,Notice,11/15/2017 0:00,FINL,5208988870,,XERX,2017,11,9,"800, West 111th Street, West Roseland, Roseland, Chicago, Cook County, Illinois, 60643, United States of America","(41.692422, -87.643763, 0.0)",41.6924220,-87.6437630,1
6045657718,11/1/2017 9:19,3116 N NARRAGANSETT AVE Chicago IL,940973087a51ba2b0bc330cbdd8e8b5845aadc588611efbc80bf4c637387bcb5,IL,PAS,600352324,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,1/6/2018 0:00,DETR,5209235740,,SPEED,2017,11,9,"3116, North Narragansett Avenue, Beat 2511, Belmont Cragin, Chicago, Cook County, Illinois, 60634, United States of America","(41.9370453, -87.7861964619919, 0.0)",41.9370453,-87.7861965,1
6045657719,11/1/2017 9:19,6510 W BRYN MAWR AVE Chicago IL,71a7b02d26b8ec17fcaf9d2607dfdcadedb3946018eaece9e0798aa42a9bd094,IL,FFM,607144382,9101020**,SPEED VIOLATION 11+,SPD,Speed,OTHR,100,200,0,100,Paid,12/7/2017 0:00,VIOL,5197362900,,SPEED,2017,11,9,"6510, West Bryn Mawr Avenue, Norwood Park, Chicago, Cook County, Illinois, 60631, United States","(41.9829692960319, -87.7904593208836, 0.0)",41.9829693,-87.7904593,1
