RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
JA494003,,11/01/2017 03:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,FIXED OBJECT,PARKING LOT,1,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/01/2017 06:06:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,3227,W,ADDISON ST,1733,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,3,4,11,41.946510941,-87.708968972,POINT (-87.708968971701 41.946510941064)
JA493980,,11/01/2017 04:10:00 AM,30,STOP SIGN/FLASHER,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,,Y,"$501 - $1,500",11/01/2017 04:16:00 AM,IMPROPER OVERTAKING/PASSING,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),3600,S,CALIFORNIA AVE,911,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,4,4,11,41.828224281,-87.69490963,POINT (-87.694909630193 41.828224281199)
JA493990,,11/01/2017 04:15:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/01/2017 04:20:00 AM,DISTRACTION - FROM INSIDE VEHICLE,FAILING TO REDUCE SPEED TO AVOID CRASH,6109,S,HERMITAGE AVE,714,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,4,4,11,41.782626019,-87.667785135,POINT (-87.667785135476 41.782626019461)
JA494484,,11/01/2017 04:30:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/01/2017 01:51:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1148,W,RANDOLPH ST,1224,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,4,4,11,41.884360341,-87.656292607,POINT (-87.656292606831 41.884360340956)
JA493998,,11/01/2017 04:50:00 AM,0,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DRIVEWAY,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,Y,,"OVER $1,500",11/01/2017 05:05:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,7750,S,SOUTH SHORE DR,421,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,4,4,11,41.755849376,-87.552384739,POINT (-87.552384739055 41.755849375901)
JA494826,Y,11/01/2017 05:00:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/01/2017 05:30:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3804,E,105TH ST,432,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,5,4,11,41.704662945,-87.531429369,POINT (-87.531429369159 41.70466294463)
JA493997,,11/01/2017 05:09:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/01/2017 05:09:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4836,N,KIMBALL AVE,1712,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,5,4,11,41.969507365,-87.71354292,POINT (-87.713542919696 41.969507365064)
JA501448,Y,11/01/2017 05:20:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/06/2017 04:45:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,8134,S,SANGAMON ST,613,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,5,4,11,41.745891131,-87.647692317,POINT (-87.647692316926 41.745891131486)
JA493999,,11/01/2017 05:22:00 AM,35,UNKNOWN,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/01/2017 05:22:00 AM,FAILING TO YIELD RIGHT-OF-WAY,IMPROPER TURNING/NO SIGNAL,758,S,CICERO AVE,1533,,,,,,,3,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,5,4,11,41.870361632,-87.74504414,POINT (-87.745044140159 41.870361632404)
JA494004,,11/01/2017 05:50:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAWN,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/01/2017 05:55:00 AM,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,1200,W,59TH ST,713,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,5,4,11,41.786994998,-87.654747502,POINT (-87.654747502118 41.786994998377)
JA494130,,11/01/2017 06:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",11/01/2017 08:53:00 AM,IMPROPER LANE USAGE,UNABLE TO DETERMINE,3155,S,LOWE AVE,915,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,4,11,41.836474805,-87.642438317,POINT (-87.64243831726 41.836474804721)
JA494052,,11/01/2017 06:18:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,CENTER TURN LANE,3,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",11/01/2017 07:26:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,IMPROPER LANE USAGE,6360,S,ARCHER AVE,811,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,4,11,41.792831226,-87.780442424,POINT (-87.780442423638 41.792831225782)
JA494024,,11/01/2017 06:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,,NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/01/2017 07:00:00 AM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,7550,N,SHERIDAN RD,2422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,4,11,42.019173074,-87.666166288,POINT (-87.666166288415 42.019173073836)
JA494832,,11/01/2017 06:40:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAWN,TURNING,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",11/01/2017 05:52:00 PM,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,3600,W,31ST ST,1032,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,4,11,41.837164802,-87.714657877,POINT (-87.714657876743 41.837164801519)
JA494029,,11/01/2017 06:40:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/01/2017 07:00:00 AM,IMPROPER OVERTAKING/PASSING,FAILING TO YIELD RIGHT-OF-WAY,4942,N,MILWAUKEE AVE,1623,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,6,4,11,41.970593164,-87.763352102,POINT (-87.763352101697 41.970593164078)
JA494031,,11/01/2017 06:40:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",11/01/2017 06:42:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6627,S,ARTESIAN AVE,832,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,6,4,11,41.772955047,-87.684544291,POINT (-87.684544290645 41.772955046833)
JA494039,,11/01/2017 06:55:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAWN,TURNING,CENTER TURN LANE,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/01/2017 07:04:00 AM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,6033,N,LINCOLN AVE,2413,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,6,4,11,41.990984811,-87.708122332,POINT (-87.708122331797 41.990984810787)
JA494030,,11/01/2017 07:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/01/2017 07:10:00 AM,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,3877,N,ELSTON AVE,1732,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,11,41.951897554,-87.716314005,POINT (-87.716314004568 41.951897553869)
JA495861,,11/01/2017 07:00:00 AM,30,NO CONTROLS,NO CONTROLS,RAIN,DAWN,REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/02/2017 01:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7101,S,RACINE AVE,733,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,11,41.765013647,-87.653967914,POINT (-87.653967914112 41.765013646543)
JA494053,,11/01/2017 07:05:00 AM,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/01/2017 07:10:00 AM,DISTRACTION - FROM INSIDE VEHICLE,FAILING TO REDUCE SPEED TO AVOID CRASH,2111,S,PEORIA ST,1235,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,11,41.853566618,-87.648009364,POINT (-87.648009363529 41.853566618271)
JA494156,,11/01/2017 07:07:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DAYLIGHT,PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,11/01/2017 09:00:00 AM,IMPROPER TURNING/NO SIGNAL,FAILING TO REDUCE SPEED TO AVOID CRASH,3359,N,CICERO AVE,1731,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,7,4,11,41.94243301,-87.746816511,POINT (-87.746816510569 41.942433009644)
JA494062,Y,11/01/2017 07:10:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",11/01/2017 07:13:00 AM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,3957,N,OAK PARK AVE,1632,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,11,41.952505053,-87.796116329,POINT (-87.796116328897 41.952505053265)
JA501910,,11/01/2017 07:15:00 AM,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,Y,"$501 - $1,500",11/06/2017 11:20:00 PM,UNABLE TO DETERMINE,IMPROPER LANE USAGE,715,N,PINE AVE,1524,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,4,11,41.893442693,-87.763363641,POINT (-87.763363640582 41.893442693465)
JA494094,,11/01/2017 07:20:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/01/2017 08:20:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,3779,S,ARCHER AVE,911,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,11,41.824746014,-87.686661969,POINT (-87.686661969262 41.824746013862)
JA494651,,11/01/2017 07:25:00 AM,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",11/01/2017 03:46:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,4140,N,MARINE DR,1915,,,,,,,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,1,0,7,4,11,41.956807123,-87.646117502,POINT (-87.646117502244 41.956807122603)
JA494078,,11/01/2017 07:30:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/01/2017 07:40:00 AM,IMPROPER OVERTAKING/PASSING,IMPROPER LANE USAGE,3899,S,KEDZIE AVE,911,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,11,41.822603101,-87.704281639,POINT (-87.704281638788 41.822603100926)
JA494097,,11/01/2017 07:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,SIDESWIPE SAME DIRECTION,RAMP,,CURVE ON GRADE,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,11/01/2017 08:00:00 AM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,5550,N,LAKE SHORE DR NB,2023,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,11,41.98334999,-87.65283118,POINT (-87.652831180229 41.983349989952)
JA494063,,11/01/2017 07:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,PARKING LOT,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,Y,,"$501 - $1,500",11/01/2017 07:45:00 AM,IMPROPER BACKING,FAILING TO REDUCE SPEED TO AVOID CRASH,4030,W,ROOSEVELT RD,1132,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,4,11,41.866265256,-87.726330602,POINT (-87.72633060162 41.866265255827)
JA494079,,11/01/2017 07:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",11/01/2017 08:10:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6130,S,WOLCOTT AVE,714,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,7,4,11,41.782042798,-87.671698578,POINT (-87.671698578172 41.782042797594)
JA494057,,11/01/2017 07:30:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,11/01/2017 07:35:00 AM,IMPROPER LANE USAGE,NOT APPLICABLE,5667,N,RIDGE AVE,2013,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,6,0,7,4,11,41.985041428,-87.662151386,POINT (-87.662151386306 41.985041427886)
JA494047,,11/01/2017 07:30:00 AM,30,LANE USE MARKING,WORN REFLECTIVE MATERIAL,CLEAR,DAWN,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),2,STRAIGHT AND LEVEL,DRY,WORN SURFACE,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",11/01/2017 07:35:00 AM,FAILING TO YIELD RIGHT-OF-WAY,EXCEEDING SAFE SPEED FOR CONDITIONS,1039,W,GRANVILLE AVE,2433,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,7,4,11,41.994481857,-87.65710042,POINT (-87.657100419811 41.994481856508)
